Date,Company,Open,High,Low,Close,Volume,Price Change %
6/24/2025,AMZN,212.14,214.34,211.05,212.77,38378800,0.3
6/24/2025,GOOGL,166.92,168.22,166.13,166.77,40524300,-0.09
6/24/2025,META,704.89,713.19,702.11,712.2,13823200,1.04
6/24/2025,NVDA,145.56,147.96,145.5,147.9,187566100,1.61
6/25/2025,AMZN,214.62,216.03,211.11,211.99,31755700,-1.23
6/25/2025,GOOGL,167.63,172.36,167.55,170.68,35479000,1.82
6/25/2025,META,713.32,716.58,705.38,708.68,9320400,-0.65
6/25/2025,NVDA,149.27,154.45,149.26,154.31,269146500,3.38
6/26/2025,AMZN,213.12,218.04,212.01,217.12,50480800,1.88
6/26/2025,GOOGL,172.43,173.69,169.94,173.54,31796700,0.64
6/26/2025,META,714.36,728.22,711.05,726.09,13964800,1.64
6/26/2025,NVDA,155.98,156.72,154,155.02,198145700,-0.62
6/27/2025,AMZN,219.92,223.3,216.74,223.3,119217100,1.54
6/27/2025,GOOGL,173.54,178.68,171.73,178.53,108140200,2.88
6/27/2025,META,726.52,735.43,725.86,733.63,18775700,0.98
6/27/2025,NVDA,156.04,158.71,155.26,157.75,263234500,1.1
6/30/2025,AMZN,223.52,223.82,219.12,219.39,58887800,-1.85
6/30/2025,GOOGL,180.78,181.23,174.58,176.23,63378900,-2.52
6/30/2025,META,744.55,747.9,734.25,738.09,15402100,-0.87
6/30/2025,NVDA,158.4,158.66,155.96,157.99,194580300,-0.26
7/1/2025,AMZN,219.5,221.88,217.93,220.46,39256800,0.44
7/1/2025,GOOGL,175.74,176.09,173.53,175.84,35904500,0.06
7/1/2025,META,736.88,737.75,715.37,719.22,13431200,-2.4
7/1/2025,NVDA,156.29,157.2,151.49,153.3,213143600,-1.91
7/2/2025,AMZN,219.73,221.6,219.06,219.92,30894200,0.09
7/2/2025,GOOGL,175.54,178.86,175.07,178.64,29128900,1.77
7/2/2025,META,715.33,720.3,712.8,713.57,9336700,-0.25
